ability	effect
ovn_radiant_pegasus_ability	wh2_main_spell_friendly_fire_explosion
ovn_unit_passive_unbinding_djinn	wh_main_all_direct_damage_unbinding
ovn_unit_passive_unbinding_arb_spearmen_mirage	wh_main_all_direct_damage_unbinding
ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	wh_main_all_direct_damage_unbinding
ovn_unit_passive_unbinding_ovn_arb_cha_nomad_0	wh_main_all_direct_damage_unbinding
wh2_dlc12_army_abilities_great_invocation_of_djinn	wh2_main_all_good_against_armour
wh2_dlc12_army_abilities_great_invocation_of_djinn	wh2_main_spell_medium_wind
arb_jaffar_to_djinn_transformation	ovn_djinn_form_advantages
arb_jaffar_to_djinn_transformation	ovn_djinn_form_disadvantages
arb_jaffar_to_djinn_transformation	ovn_transform_to_djinn_form
arb_djinn_to_jaffar_transformation	ovn_human_form_advantages
arb_djinn_to_jaffar_transformation	ovn_human_form_advantages_spells
arb_djinn_to_jaffar_transformation	ovn_transform_to_human_form
ovn_arb_baz_heal	wh_main_all_replenish
ovn_arb_baz_escape	wh2_main_all_flanking
ovn_arb_baz_escape	wh2_main_all_hiding
ovn_passive_jaffar_djinn_casting_drain	wh_dlc05_spell_trigger_when_casting
ovn_arb_unit_passive_djinn_instability_ii	wh_main_all_direct_damage_self_high
ovn_arb_unit_passive_djinn_instability	wh_main_all_direct_damage_self
ovn_spell_bound_wind_blast	wh_main_all_strong_against_units
ovn_spell_bound_wind_blast	wh_main_vortex_large_breath
