ability	effect
cr_spell_moot_phineas_wrath	wh2_main_all_weak_against_armour
cr_spell_moot_phineas_wrath	wh_main_all_can_disrupt_formation
cr_spell_moot_phineas_wrath	wh_main_all_strong_against_units
cr_spell_moot_phineas_wrath	wh_main_vortex_large_breath
cr_spell_moot_phineas_wrath	wh2_dlc12_spell_friendly_fire_aoe
cr_spell_moot_phineas_wrath_upgraded	wh2_main_all_magical_damage_moderate
cr_spell_moot_phineas_wrath_upgraded	wh_main_all_can_disrupt_formation
cr_spell_moot_phineas_wrath_upgraded	wh_main_all_strong_against_units
cr_spell_moot_phineas_wrath_upgraded	wh_main_all_weak_against_single
cr_spell_moot_phineas_wrath_upgraded	wh_main_spell_upgraded_ap_damage_ranged
cr_spell_moot_phineas_wrath_upgraded	wh_main_vortex_large_breath
cr_spell_moot_phineas_wrath_upgraded	wh2_dlc12_spell_friendly_fire_aoe
cr_spell_moot_josiass_bodily_cleanse	wh2_main_all_magical_damage_moderate
cr_spell_moot_josiass_bodily_cleanse	wh2_main_bombardment_medium_strike_aoe
cr_spell_moot_josiass_bodily_cleanse	wh_main_all_strong_against_unit
cr_spell_moot_josiass_bodily_cleanse	wh_main_all_weak_against_single
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh2_main_all_magical_damage_moderate
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh_main_all_strong_against_unit
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh_main_all_weak_against_single
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh_main_bombardment_large_strike_aoe
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh_main_spell_upgraded_projectiles
cr_spell_moot_josiass_bodily_cleanse_upgraded	wh_main_spell_upgraded_strike_area
cr_spell_moot_barnyard_stampede	wh2_main_all_magical_damage_massive
cr_spell_moot_barnyard_stampede	wh2_main_spell_small_wind
cr_spell_moot_barnyard_stampede	wh_main_all_strong_against_units
cr_spell_moot_barnyard_stampede	wh_main_all_weak_against_single
cr_spell_moot_barnyard_stampede_upgraded	wh2_main_all_magical_damage_massive
cr_spell_moot_barnyard_stampede_upgraded	wh2_main_spell_small_wind
cr_spell_moot_barnyard_stampede_upgraded	wh_main_all_strong_against_units
cr_spell_moot_barnyard_stampede_upgraded	wh_main_all_weak_against_single
cr_spell_moot_barnyard_stampede_upgraded	wh_main_spell_upgraded_ap_damage
cr_spell_moot_esmeraldas_last_course	cr_spell_tasty_pies
cr_spell_moot_esmeraldas_last_course	wh_main_all_replenish
cr_spell_moot_esmeraldas_last_course_upgraded	wh_main_spell_upgraded_duration
cr_spell_moot_esmeraldas_last_course_upgraded	wh_main_all_replenish
cr_spell_moot_esmeraldas_last_course_upgraded	cr_spell_tasty_pies
cr_spell_moot_haffenlyver	wh_main_spell_upgraded_melee_attack
cr_spell_moot_haffenlyver	wh_dlc05_spell_upgraded_resistance_magic
cr_spell_moot_haffenlyver_upgraded	wh_main_spell_upgraded_melee_attack
cr_spell_moot_haffenlyver_upgraded	wh_dlc05_spell_upgraded_resistance_magic
cr_spell_moot_haffenlyver_upgraded	wh_main_spell_upgraded_duration
