attribute	attribute_group
moulder_monster	ovn_mtl_cav_poultry_riders_0_attributes
hide_forest	ovn_hlf_sheep_dogs_attributes
guerrilla_deploy	ovn_hlf_sheep_dogs_attributes
strider	ovn_hlf_sheep_dogs_attributes
hide_forest	hlf_gatherers_attributes
encourages	ovn_hlf_ll_swan_attributes
hide_forest	ovn_hlf_ll_swan_attributes
flying	ovn_hlf_ll_swan_attributes
encourages	ovn_hlf_moot_general_3_attributes
hide_forest	ovn_hlf_moot_general_3_attributes
flying	ovn_hlf_moot_general_3_attributes
encourages	ovn_hlf_fieldwarden_1_attributes
guerrilla_deploy	ovn_hlf_fieldwarden_1_attributes
stalk	ovn_hlf_fieldwarden_1_attributes
flying	ovn_hlf_fieldwarden_1_attributes
