key	faction_effects	faction_leader_effects	group	icon	vo_trigger
ovn_olive	ovn_food_vegetables_4		ovn_vegetables	ui/skins/default/halfling_ingredients_olive.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_onion	ovn_food_vegetables_5		ovn_vegetables	ui/skins/default/halfling_ingredients_garlic.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_tomatoe	ovn_food_vegetables_6		ovn_vegetables	ui/skins/default/halfling_ingredients_tomatoe.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_potatoe	ovn_food_vegetables_7		ovn_vegetables	ui/skins/default/halfling_ingredients_potatoe.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_apple	ovn_food_fruits_1		ovn_fruits	ui/skins/default/halfling_ingredients_apple.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_lingonberry	ovn_food_fruits_2		ovn_fruits	ui/skins/default/halfling_ingredients_lingonberry.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_date	ovn_food_fruits_3		ovn_fruits	ui/skins/default/halfling_ingredients_date.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_pomegranate	ovn_food_fruits_4		ovn_fruits	ui/skins/default/halfling_ingredients_pomegranate.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_walnut	ovn_food_fruits_5		ovn_fruits	ui/skins/default/halfling_ingredients_walnut.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_pitaya	ovn_food_fruits_6		ovn_fruits	ui/skins/default/halfling_ingredients_pitaya.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_cranberry	ovn_food_fruits_7		ovn_fruits	ui/skins/default/halfling_ingredients_cranberry.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
