currency_type	item_type	cost_value
supplies_currency	ovn_arb_cha_champion_2	825.0000
supplies_currency	ovn_arb_cha_champion_3	1075.0000
supplies_currency	ovn_arb_cha_champion_wazar_0	350.0000
supplies_currency	ovn_arb_cha_champion_wazar_1	600.0000
supplies_currency	ovn_arb_cha_champion_wazar_2	825.0000
supplies_currency	ovn_arb_cha_champion_wazar_3	1075.0000
supplies_currency	ovn_arb_cha_nomad_0	700.0000
supplies_currency	ovn_arb_cha_nomad_0_summoned	700.0000
supplies_currency	ovn_arb_cha_magician_desert_0	300.0000
supplies_currency	ovn_arb_cha_magician_desert_1	500.0000
supplies_currency	ovn_arb_cha_magician_desert_2	700.0000
supplies_currency	ovn_arb_cha_magician_fire_0	300.0000
supplies_currency	ovn_arb_cha_magician_fire_1	500.0000
supplies_currency	ovn_arb_cha_magician_fire_2	700.0000
supplies_currency	ovn_arb_cha_magician_heavens_0	300.0000
supplies_currency	ovn_arb_cha_magician_heavens_1	500.0000
supplies_currency	ovn_arb_cha_magician_heavens_2	700.0000
supplies_currency	ovn_arb_cha_magician_life_0	300.0000
supplies_currency	ovn_arb_cha_magician_life_1	500.0000
supplies_currency	ovn_arb_cha_magician_life_2	700.0000
supplies_currency	ovn_arb_inf_sharkas_slaves	100.0000
supplies_currency	ovn_arb_inf_arabyan_warriors	250.0000
supplies_currency	ovn_arb_inf_arabyan_warriors_ror	650.0000
supplies_currency	ovn_arb_inf_arabyan_spearmen	300.0000
supplies_currency	ovn_arb_inf_arabyan_spearmen_summoned_0	300.0000
supplies_currency	ovn_arb_inf_arabyan_spearmen_summoned_1	300.0000
supplies_currency	ovn_arb_inf_arabyan_bowmen	400.0000
supplies_currency	ovn_arb_inf_naffatun_ror	800.0000
supplies_currency	ovn_arb_inf_arabyan_guard	850.0000
supplies_currency	ovn_arb_inf_arabyan_guard_ror	1100.0000
supplies_currency	ovn_arb_inf_dervishers	1200.0000
supplies_currency	ovn_arb_inf_pit_fighters	800.0000
supplies_currency	ovn_arb_inf_southland_warriors	1300.0000
supplies_currency	ovn_arb_inf_corsairs	450.0000
supplies_currency	ovn_arb_inf_alrahem_nomads	650.0000
supplies_currency	ovn_arb_inf_jezzails	650.0000
supplies_currency	ovn_arb_inf_jezzails_ror	875.0000
supplies_currency	ovn_arb_cav_bedouin_scouts	500.0000
supplies_currency	ovn_arb_cav_lancer_camels	500.0000
supplies_currency	ovn_arb_cav_lancer_camels_ror	900.0000
supplies_currency	ovn_arb_cav_archer_camels	550.0000
supplies_currency	ovn_arb_cav_jezzail_camels	700.0000
supplies_currency	ovn_arb_cav_arabyan_knights	700.0000
supplies_currency	ovn_arb_cav_arabyan_knights_ror	850.0000
supplies_currency	ovn_arb_cav_sipahis	1150.0000
supplies_currency	ovn_arb_cav_sipahis_ror	1350.0000
supplies_currency	ovn_arb_cav_flying_carpets	1050.0000
supplies_currency	ovn_arb_cav_flying_carpets_ror	1300.0000
supplies_currency	ovn_arb_cav_waghzen	1400.0000
supplies_currency	ovn_arb_mon_elephant	1300.0000
supplies_currency	ovn_arb_mon_war_elephant	1500.0000
supplies_currency	ovn_arb_mon_war_elephant_ror_1	2400.0000
supplies_currency	ovn_arb_mon_war_elephant_ror_2	2200.0000
supplies_currency	ovn_arb_mon_enchanted_rope	1350.0000
supplies_currency	ovn_arb_mon_enchanted_rope_summoned	1350.0000
supplies_currency	ovn_arb_mon_genie	1200.0000
supplies_currency	ovn_arb_mon_genie_summoned	1200.0000
supplies_currency	ovn_arb_mon_desert_spirit	2000.0000
supplies_currency	ovn_arb_mon_desert_spirit_summoned	2000.0000
supplies_currency	ovn_arb_mon_desert_spirit_ror	2100.0000
supplies_currency	ovn_arb_mon_fire_efreet	2200.0000
supplies_currency	ovn_arb_mon_fire_efreet_summoned	2200.0000
supplies_currency	ovn_arb_mon_fire_efreet_ror	2400.0000
supplies_currency	ovn_arb_mon_sea_nymph	2000.0000
supplies_currency	ovn_arb_mon_sea_nymph_summoned	2000.0000
supplies_currency	ovn_arb_mon_sea_nymph_ror	2100.0000
supplies_currency	ovn_arb_mon_tempest_djinn	1800.0000
supplies_currency	ovn_arb_mon_tempest_djinn_summoned	1800.0000
supplies_currency	ovn_arb_mon_tempest_djinn_ror	1900.0000
supplies_currency	ovn_arb_mon_book_djinn	550.0000
supplies_currency	ovn_arb_mon_giant_vulture_feral	1600.0000
supplies_currency	ovn_arb_djinn_carriage	2200.0000
supplies_currency	ovn_arb_art_quadballista	550.0000
supplies_currency	ovn_arb_art_quadballista_ror	800.0000
supplies_currency	ovn_arb_art_grand_bombard	1200.0000
supplies_currency	ovn_arb_art_grand_bombard_ror	1500.0000
supplies_currency	ovn_arb_art_naphtha_thrower	1300.0000
supplies_currency	ovn_arb_veh_naphtha_thrower_ror	2300.0000
