unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
wh_main_emp_inf_swordsmen_ovn_gru		4	melee_infantry	1	false	wh_main_emp_inf_swordsmen	120	0	375	wh_main_shp_transport	1	1	120	560	125	medium		0	6481	true	wh2_dlc11_vo_actor_Generic_Human	infantry_sword	1	false	emp_soldier_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_spearmen_0_ovn_gru		4	melee_infantry	1	false	wh_main_emp_inf_spearmen_0	120	0	300	wh_main_shp_transport	1	1	120	450	101	medium		0	6478	true	wh_main_vo_culture_Empire	infantry_spear	1	false	emp_soldier_15_degrees		false		325.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_crossbowmen_ovn_gru		4	missile_infantry	1	false	wh_main_emp_inf_crossbowmen	90	0	475	wh_main_shp_transport	1	1	90	712	148	light		0	6488	true	wh_main_vo_culture_Empire	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh2_dlc13_emp_inf_archers_0_ovn_gru		4	missile_infantry	1	false	wh2_dlc13_emp_inf_archers_0	90	0	350	wh_main_shp_transport	1	1	90	525	110	light		0	128595418	true	wh_main_vo_culture_Empire	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	250.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_handgunners_ovn_gru		4	missile_infantry	1	false	wh_main_emp_inf_handgunners	90	0	600	wh_main_shp_transport	1	1	120	900	187	medium		0	6486	true	wh_main_vo_culture_Empire	missile_infantry_rifle	2	false	emp_soldier_30_degrees		false		120.0000	480.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh3_main_ogr_inf_ogres_0_ovn_gru		4	monstrous_infantry	1	false	wh3_main_ogr_inf_ogres_0	24	0	500	wh_main_shp_transport	1	1	16	750	156	very_heavy		0	1544091717	true	wh3_main_vo_culture_Ogres	wh3_main_ogr_monstrous	2	false	ogre_infantry		false		500.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_inf_greatswords_ovn_gru		4	melee_infantry	1	false	wh_main_emp_inf_greatswords	120	0	850	wh_main_shp_transport	1	1	120	1275	281	medium		0	6512	true	wh_main_vo_culture_Empire	infantry_sword_great	2	false	emp_soldier_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_dlc04_emp_inf_free_company_militia_0_ovn_gru		4	missile_infantry	1	false	wh_dlc04_emp_inf_free_company_militia_0	120	0	450	wh_main_shp_transport	1	1	120	675	141	medium		0	11175	true	wh_main_vo_culture_Empire	missile_infantry_pistol	1	false	emp_soldier_15_degrees		false		250.0000	200.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_empire_knights_ovn_gru		4	melee_cavalry	1	false	wh_main_emp_cav_empire_knights	60	0	850	wh_main_shp_transport	1	1	60	1275	266	medium		0	11642	true	wh_main_vo_culture_Empire	shock_cavalry	2	false	emp_reiksguard		false		900.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_pistoliers_1_ovn_gru		4	missile_cavalry	1	false	wh_main_emp_cav_pistoliers_1	60	0	500	wh_main_shp_transport	1	1	60	750	156	medium		0	6567	true	wh_main_vo_culture_Empire	missile_cavalry_rifle	1	false	emp_reiksguard		false		180.0000	320.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	5	false	false		0.0000	true	1	false
wh_dlc04_emp_inf_flagellants_0_ovn_gru		4	melee_infantry	1	false	wh_dlc04_emp_inf_flagellants_0	120	0	600	wh_main_shp_transport	1	1	120	900	187	medium		0	11198	true	wh_main_vo_culture_Empire	wh_dlc04_emp_flagelllents	2	false	emp_soldier_15_degrees		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false		0.0000	true	1	false
wh_main_dwf_inf_dwarf_warrior_0_ovn_gru		4	melee_infantry	1	false	wh_main_dwf_inf_dwarf_warrior_0	100	0	450	wh_main_shp_transport	1	1	100	675	141	heavy		0	8054	true	wh_main_vo_culture_Dwarf	infantry_axe	1	false	dwf_warrior_30_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
wh_main_dwf_inf_slayers_ovn_gru		4	melee_infantry	1	false	wh_main_dwf_inf_slayers	80	0	900	wh_main_shp_transport	1	1	80	1350	281	light		0	8104	true	wh_main_vo_culture_Dwarf	infantry_axe	2	false	dwf_warrior_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	6	false	false		0.0000	true	1	false
