building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
ovn_arb_resource_marble_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_marble	false	wh_main_emp_resource_marble_1	true	
ovn_arb_resource_marble_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_marble	false	wh_main_emp_resource_marble_2	true	
ovn_arb_resource_marble_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_marble	false	wh_main_emp_resource_marble_3	true	
ovn_arb_resource_medicine_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_medicine	false	wh2_main_hef_resource_medicine_1	true	
ovn_arb_resource_medicine_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_medicine	false	wh2_main_hef_resource_medicine_2	true	
ovn_arb_resource_medicine_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_medicine	false	wh2_main_hef_resource_medicine_3	true	
ovn_arb_resource_obsidian_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_obsidian	false	wh2_main_hef_resource_obsidian_1	true	
ovn_arb_resource_obsidian_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_obsidian	false	wh2_main_hef_resource_obsidian_2	true	
ovn_arb_resource_obsidian_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_obsidian	false	wh2_main_hef_resource_obsidian_3	true	
ovn_arb_resource_pasture_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_1	true	
ovn_arb_resource_pasture_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_2	true	
ovn_arb_resource_pasture_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_3	true	
ovn_arb_resource_pottery_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pottery	false	wh_main_emp_resource_pottery_1	true	
ovn_arb_resource_pottery_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pottery	false	wh_main_emp_resource_pottery_2	true	
ovn_arb_resource_pottery_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_pottery	false	wh_main_emp_resource_pottery_3	true	
ovn_arb_resource_salt_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_salt	false	wh_main_emp_resource_salt_1	true	
ovn_arb_resource_salt_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_salt	false	wh_main_emp_resource_salt_2	true	
ovn_arb_resource_salt_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_salt	false	wh_main_emp_resource_salt_3	true	
ovn_arb_resource_spices_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_spices	false	wh2_main_hef_resource_spices_1	true	
ovn_arb_resource_spices_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_spices	false	wh2_main_hef_resource_spices_2	true	
ovn_arb_resource_spices_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_spices	false	wh2_main_hef_resource_spices_3	true	
ovn_arb_resource_wine_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wine	false	wh_main_emp_resource_wine_1	true	
ovn_arb_resource_wine_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wine	false	wh_main_emp_resource_wine_2	true	
ovn_arb_resource_wine_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wine	false	wh2_main_alt_resource_wine_3	true	
ovn_arb_resource_wood_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wood	false	wh_main_emp_resource_timber_1	true	
ovn_arb_resource_wood_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wood	false	wh_main_emp_resource_timber_2	true	
ovn_arb_resource_wood_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_wood	false	wh_main_emp_resource_timber_3	true	
