id	mission_key	option_key	value	target
900609558	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_LOGICAL_POSTION	1142;652	default
900609559	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	default
900609560	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_CHANCE	100	default
900609561	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609562	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	GEN_TARGET_NONE		default
900609563	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609564	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609565	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609566	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_MISSION_LENGTH_INFINITE		default
900609567	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609568	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_LOGICAL_POSTION	1229;519	default
900609569	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	default
900609570	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_CHANCE	100	default
900609571	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609572	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	GEN_TARGET_NONE		default
900609573	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609574	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609575	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609576	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	VAR_MISSION_LENGTH_INFINITE		default
900609577	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609578	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_LOGICAL_POSTION	1335;362	default
900609579	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	default
900609580	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_CHANCE	100	default
900609581	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609582	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	GEN_TARGET_NONE		default
900609583	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609584	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609585	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609586	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	VAR_MISSION_LENGTH_INFINITE		default
900609587	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609588	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_LOGICAL_POSTION	1195;424	default
900609589	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	default
900609590	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_CHANCE	100	default
900609591	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609592	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	GEN_TARGET_NONE		default
900609593	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609594	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609595	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609596	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	VAR_MISSION_LENGTH_INFINITE		default
900609597	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609598	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_LOGICAL_POSTION	1115;504	default
900609599	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	default
900609600	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_CHANCE	100	default
900609601	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609602	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	GEN_TARGET_NONE		default
900609603	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609604	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609605	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609606	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	VAR_MISSION_LENGTH_INFINITE		default
900609607	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609608	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_LOGICAL_POSTION	1124;531	default
900609609	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	default
900609610	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_CHANCE	100	default
900609611	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609612	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	GEN_TARGET_NONE		default
900609613	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609614	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609615	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609616	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	VAR_MISSION_LENGTH_INFINITE		default
900609617	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609618	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_LOGICAL_POSTION	1194;468	default
900609619	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	default
900609620	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_CHANCE	100	default
900609621	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609622	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	GEN_TARGET_NONE		default
900609623	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609624	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609625	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609626	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	VAR_MISSION_LENGTH_INFINITE		default
900609627	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609628	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_LOGICAL_POSTION	230;92	default
900609629	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	default
900609630	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_CHANCE	100	default
900609631	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609632	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	GEN_TARGET_NONE		default
900609633	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609634	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609635	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609636	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	VAR_MISSION_LENGTH_INFINITE		default
