battle_personality	land_unit	attach	riders_attachment_point
wh_main_arb_elephant_rider_mahout	ovn_arb_cha_sultan_jaffar_2	autonomous_rider	ap_mahoutposition_0
wh_main_arb_elephant_rider1	ovn_arb_cha_sultan_jaffar_2	autonomous_rider	ap_crewposition_1
wh_main_arb_elephant_rider2	ovn_arb_cha_sultan_jaffar_2	autonomous_rider	ap_crewposition_2
wh_main_arb_elephant_rider3	ovn_arb_cha_sultan_jaffar_2	autonomous_rider	ap_crewposition_3
ovn_arb_giant_vulture_rider_jaffar	ovn_arb_cha_sultan_jaffar_3	autonomous_rider	
ovn_arb_cav_scorpion_riders_rider	ovn_arb_cav_scorpion_riders	autonomous_rider	ap_crewposition_1
ovn_arb_cha_fatandira_2	ovn_arb_cha_fatandira_2	autonomous_rider	
arb_fatandira_horse	ovn_arb_cha_fatandira_1	autonomous_rider	
ovn_arb_air_skiff_rider_0	ovn_arb_cha_golden_magus_2	autonomous_rider	ap_crewposition_0
ovn_arb_air_skiff_rider_1	ovn_arb_cha_golden_magus_2	autonomous_rider	ap_crewposition_1
ovn_arb_air_skiff_rider_2	ovn_arb_cha_golden_magus_2	autonomous_rider	ap_crewposition_2
ovn_arb_air_skiff_rider_3	ovn_arb_cha_golden_magus_2	autonomous_rider	ap_crewposition_3
ovn_arb_air_skiff_rider_4	ovn_arb_cha_golden_magus_2	autonomous_rider	ap_crewposition_4
ovn_arb_flying_carpet_rider_0	ovn_arb_cav_flying_carpets	autonomous_rider	ap_riderposition_0
ovn_arb_flying_carpet_rider_ror	ovn_arb_cav_flying_carpets_ror	autonomous_rider	ap_riderposition_0
ovn_vizier_life_rider	ovn_arb_cha_vizier_life_2	autonomous_rider	ap_crewposition_0
ovn_vizier_desert_rider	ovn_arb_cha_vizier_desert_2	autonomous_rider	ap_crewposition_0
ovn_vizier_fire_rider	ovn_arb_cha_vizier_fire_2	autonomous_rider	ap_crewposition_0
ovn_vizier_heavens_rider	ovn_arb_cha_vizier_heavens_2	autonomous_rider	ap_crewposition_0
wh_main_arb_elephant_rider_mahout	ovn_arb_mon_elephant	autonomous_rider	ap_mahoutposition_0
wh_main_arb_elephant_rider_mahout	ovn_arb_mon_war_elephant	autonomous_rider	ap_mahoutposition_0
wh_main_arb_elephant_rider0	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_0
wh_main_arb_elephant_rider1	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_1
wh_main_arb_elephant_rider2	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_2
wh_main_arb_elephant_rider3	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_3
wh_main_arb_elephant_rider4	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_4
wh_main_arb_elephant_rider5	ovn_arb_mon_war_elephant	autonomous_rider	ap_crewposition_5
ovn_arb_ravager_kasabar_crew_jezzails_1	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_0
ovn_arb_ravager_kasabar_crew_jezzails_2	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_1
ovn_arb_ravager_kasabar_crew_jezzails_3	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_2
ovn_arb_ravager_kasabar_crew_jezzails_4	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_3
ovn_arb_ravager_kasabar_crew_jezzails_5	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_4
ovn_arb_ravager_kasabar_crew_jezzails_6	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_5
ovn_arb_ravager_kasabar_crew_whip	ovn_arb_mon_war_elephant_ror_1	autonomous_rider	ap_crewposition_6
ovn_arb_cav_waghzen_rider	ovn_arb_cav_waghzen	autonomous_rider	ap_rider_0
ovn_arb_cav_lancer_camel_rider	ovn_arb_cav_lancer_camels	autonomous_rider	ap_riderposition_0
ovn_arb_cav_archer_camel_rider	ovn_arb_cav_archer_camels	autonomous_rider	ap_riderposition_0
ovn_arb_cav_jezzail_camel_rider	ovn_arb_cav_jezzail_camels	autonomous_rider	ap_riderposition_0
ovn_arb_veh_naphtha_thrower_ror	ovn_arb_veh_naphtha_thrower_ror	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_0	ovn_arb_djinn_carriage	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_1	ovn_arb_djinn_carriage	autonomous_rider	ap_crewposition_1
ovn_arb_djinn_carriage_rider_2	ovn_arb_djinn_carriage	autonomous_rider	ap_crewposition_2
ovn_arb_djinn_carriage_rider_3	ovn_arb_djinn_carriage	autonomous_rider	ap_crewposition_3
ovn_arb_desert_dogs_almuktar	ovn_arb_cav_arabyan_knights_ror	officer	
ovn_arb_desert_dogs_shufti	ovn_arb_cav_arabyan_knights_ror	additional_officer	
ovn_arb_jaguar_champions_ror_mullah_officer	ovn_arb_inf_jaguar_champions_ror	officer	
ovn_arb_copher_sipahi_riders	ovn_arb_cav_sipahis_ror	autonomous_rider	ap_riderposition_0
