key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	required_resources	expended_resources	target	target_expended_resources	target_required_resources	target_cooldown	target_category_cooldown	effects_while_performing	custom_cost_id	on_trigger_vo_event	flags	self_payload
ovn_arb_crafting_arcane_items_02	0	ovn_arb_crafting_arcane_items_02	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_common				0	0				default	
ovn_arb_crafting_arcane_items_03	0	ovn_arb_crafting_arcane_items_03	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_uncommon				0	0				default	
ovn_arb_crafting_arcane_items_04	0	ovn_arb_crafting_arcane_items_04	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_nomad				0	0				default	
ovn_arb_crafting_arcane_items_05	0	ovn_arb_crafting_arcane_items_05	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_rare				0	0				default	
ovn_arb_crafting_arcane_items_06	0	ovn_arb_crafting_arcane_items_06	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_rare				0	0				default	
ovn_arb_crafting_arcane_items_07	0	ovn_arb_crafting_arcane_items_07	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_nomad				0	0				default	
ovn_arb_crafting_arcane_items_08	0	ovn_arb_crafting_arcane_items_08	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_crafted				0	0				default	
ovn_arb_crafting_arcane_items_09	0	ovn_arb_crafting_arcane_items_09	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_crafted				0	0				default	
ovn_arb_crafting_arcane_items_10	0	ovn_arb_crafting_arcane_items_10	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_monkey_king				0	0				default	
ovn_arb_crafting_arcane_items_11	0	ovn_arb_crafting_arcane_items_11	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_unique				0	0				default	
ovn_arb_crafting_arcane_items_12	0	ovn_arb_crafting_arcane_items_12	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_unique				0	0				default	
