pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_kho_upkeep_t5	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_upkeep_t5	-350	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_kho_upkeep_t5	350	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t1_sacrifice_requirements	-500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t1_sacrifice_requirements	-1000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t1	-500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t1	500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t2_sacrifice_requirement	-750	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t2_sacrifice_requirement	-2500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t2	-750	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t2	750	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t3_sacrifice_requirement_high	-1500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t3_sacrifice_requirement_high	-7500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t3_sacrifice_requirement	-1500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t3_sacrifice_requirement	-5000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t3	-1500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t3	1500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t4_sacrifice_requirement	-2000	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t4_sacrifice_requirement	-15000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t4	-2000	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t4	2000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t5_sacrifice_requirement_low	-2500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t5_sacrifice_requirement_low	-20000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t5_sacrifice_requirement	-2500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t5_sacrifice_requirement	-25000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_t5	-2500	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices	ovn_fim_skattach_initiative_slaves_nur_t5	2500	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_nur_upkeep_t1	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_upkeep_t1	-50	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_nur_upkeep_t1	50	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_nur_upkeep_t2	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_upkeep_t2	-100	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_nur_upkeep_t2	100	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_nur_upkeep_t3	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_upkeep_t3	-150	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_nur_upkeep_t3	150	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_nur_upkeep_t4	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_upkeep_t4	-200	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_nur_upkeep_t4	200	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_nur_upkeep_t5	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_nur_upkeep_t5	-350	absolute	default
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_nur_upkeep_t5	350	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t1_sacrifice_requirements	-500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t1_sacrifice_requirements	-1000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t1	-500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t1	500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t2_sacrifice_requirement	-750	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t2_sacrifice_requirement	-2500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t2	-750	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t2	750	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t3_sacrifice_requirement_high	-1500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t3_sacrifice_requirement_high	-7500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t3_sacrifice_requirement	-1500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t3_sacrifice_requirement	-5000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t3	-1500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t3	1500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t4_sacrifice_requirement	-2000	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t4_sacrifice_requirement	-15000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t4	-2000	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t4	2000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t5_sacrifice_requirement_low	-2500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t5_sacrifice_requirement_low	-20000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t5_sacrifice_requirement	-2500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t5_sacrifice_requirement	-25000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_t5	-2500	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices	ovn_fim_skattach_initiative_slaves_sla_t5	2500	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_sla_upkeep_t1	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_upkeep_t1	-50	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_sla_upkeep_t1	50	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_sla_upkeep_t2	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_upkeep_t2	-100	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_sla_upkeep_t2	100	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_sla_upkeep_t3	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_upkeep_t3	-150	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_sla_upkeep_t3	150	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_sla_upkeep_t4	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_upkeep_t4	-200	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_sla_upkeep_t4	200	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_sla_upkeep_t5	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_sla_upkeep_t5	-350	absolute	default
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_sla_upkeep_t5	350	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t1_sacrifice_requirements	-500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t1_sacrifice_requirements	-1000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t1	-500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t1	500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t2_sacrifice_requirement	-750	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t2_sacrifice_requirement	-2500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t2	-750	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t2	750	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t3_sacrifice_requirement_high	-1500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t3_sacrifice_requirement_high	-7500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t3_sacrifice_requirement	-1500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t3_sacrifice_requirement	-5000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t3	-1500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t3	1500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t4_sacrifice_requirement	-2000	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t4_sacrifice_requirement	-15000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t4	-2000	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t4	2000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t5_sacrifice_requirement_low	-2500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t5_sacrifice_requirement_low	-20000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t5_sacrifice_requirement	-2500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t5_sacrifice_requirement	-25000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_t5	-2500	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices	ovn_fim_skattach_initiative_slaves_tze_t5	2500	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_tze_upkeep_t1	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_upkeep_t1	-50	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_tze_upkeep_t1	50	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_tze_upkeep_t2	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_upkeep_t2	-100	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_tze_upkeep_t2	100	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_tze_upkeep_t3	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_upkeep_t3	-150	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_tze_upkeep_t3	150	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_tze_upkeep_t4	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_upkeep_t4	-200	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_tze_upkeep_t4	200	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_tze_upkeep_t5	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_tze_upkeep_t5	-350	absolute	default
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_tze_upkeep_t5	350	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t1	-500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t1	500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t2_sacrifice_requirement	-750	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t2_sacrifice_requirement	-2500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t2	-750	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t2	750	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t3_sacrifice_requirement_high	-1500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t3_sacrifice_requirement_high	-7500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t3_sacrifice_requirement	-1500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t3_sacrifice_requirement	-5000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t3	-1500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t3	1500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t4_sacrifice_requirement	-2000	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t4_sacrifice_requirement	-15000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t4	-2000	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t4	2000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t5_sacrifice_requirement	-2500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t5_sacrifice_requirement	-25000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_t5	-2500	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices	ovn_fim_skattach_initiative_slaves_und_t5	2500	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_und_upkeep_t1	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_upkeep_t1	-50	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_und_upkeep_t1	50	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_und_upkeep_t2	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_upkeep_t2	-100	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_und_upkeep_t2	100	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_und_upkeep_t3	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_upkeep_t3	-150	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_und_upkeep_t3	150	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_und_upkeep_t4	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_upkeep_t4	-200	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_und_upkeep_t4	200	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_und_upkeep_t5	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_und_upkeep_t5	-350	absolute	default
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_und_upkeep_t5	350	absolute	secondary
ovn_fimir_slaves_buildings_negative	ovn_fim_kroll_temple_slaves_cost	-100	absolute	default
