campaign_potential	base_value	random_roll_mean	random_roll_lower_bound	random_roll_upper_bound
wh3_main_ogr_blood_guzzlers_roc	-25	0	0	100
wh3_main_ogr_bloodmaw_ie	20	0	0	40
wh3_main_ogr_bloodmaw_roc	-25	0	0	100
wh3_main_ogr_crossed_clubs_ie	20	0	0	40
wh3_main_ogr_crossed_clubs_roc	-25	0	0	100
wh3_main_ogr_eyebiter_ie	20	0	0	40
wh3_main_ogr_eyebiter_roc	-25	0	0	100
wh3_main_ogr_feastmaster_ie	20	0	0	40
wh3_main_ogr_feastmaster_roc	-25	0	0	100
wh3_main_ogr_fleshgreeders_ie	20	0	0	40
wh3_main_ogr_fleshgreeders_roc	-25	0	0	100
wh3_main_ogr_fulg_ie	20	0	0	40
wh3_main_ogr_fulg_roc	-25	0	0	100
wh3_main_ogr_lazarghs_ie	20	0	0	40
wh3_main_ogr_lazarghs_roc	-25	0	0	100
wh3_main_ogr_loose_tooth_ie	20	0	0	40
wh3_main_ogr_loose_tooth_roc	-25	0	0	100
wh3_main_ogr_mountaineaters_ie	20	0	0	40
wh3_main_ogr_mountaineaters_roc	-25	0	0	100
wh3_main_ogr_rock_skulls_ie	20	0	0	40
wh3_main_ogr_rock_skulls_roc	-25	0	0	100
wh3_main_ogr_sabreskin_ie	20	0	0	40
wh3_main_ogr_sabreskin_roc	-25	0	0	100
wh3_main_ogr_sons_of_the_mountain_ie	20	0	0	40
wh3_main_ogr_sons_of_the_mountain_roc	-25	0	0	100
wh3_main_ogr_thunderguts_ie	20	0	0	40
wh3_main_ogr_thunderguts_roc	-25	0	0	100
wh3_main_ogr_treehammers_ie	20	0	0	40
wh3_main_ogr_treehammers_roc	-25	0	0	100
wh3_main_ogre_flamegullets_ie	20	0	0	40
wh3_main_ogre_sharktooth_ie	20	0	0	40
wh3_main_ogre_the_famished_ie	20	0	0	40
wh3_main_skv_clan_gritus_roc	-25	0	0	100
wh3_main_skv_clan_krizzor_ie	20	0	0	40
wh3_main_skv_clan_krizzor_roc	-25	0	0	100
wh3_main_skv_clan_morbidus_ie	20	0	0	40
wh3_main_skv_clan_morbidus_roc	-25	0	0	100
wh3_main_skv_clan_skrat_ie	20	0	0	40
wh3_main_skv_clan_treecherik_ie	20	0	0	40
wh3_main_skv_clan_verms_ie	20	0	0	40
wh3_main_sla_exquisite_pain_ie	20	0	0	40
wh3_main_sla_exquisite_pain_roc	-25	0	0	100
wh3_main_sla_rapturous_excess_ie	20	0	0	40
wh3_main_sla_subtle_torture_ie	20	0	0	40
wh3_main_sla_subtle_torture_roc	-25	0	0	100
wh3_main_tmb_deserters_of_khatep_ie	20	0	0	40
wh3_main_tze_all_seeing_eye_ie	20	0	0	40
wh3_main_tze_broken_wheel_ie	20	0	0	40
wh3_main_tze_broken_wheel_roc	-25	0	0	100
wh3_main_tze_flaming_scribes_ie	20	0	0	40
wh3_main_tze_flaming_scribes_roc	-25	0	0	100
wh3_main_vmp_lahmian_sisterhood_ie	20	0	0	40
wh3_main_vmp_lahmian_sisterhood_roc	-25	0	0	100
wh3_main_wef_laurelorn_ie	20	0	0	40
wh3_main_wef_laurelorn_roc	-25	0	0	100
wh_dlc03_bst_jagged_horn_ie	20	0	0	40
wh_dlc03_bst_jagged_horn_roc	-25	0	0	100
wh_dlc03_bst_redhorn_ie	20	0	0	40
wh_dlc03_bst_redhorn_roc	-25	0	0	100
wh_dlc03_grn_black_pit_ie	20	0	0	40
wh_dlc03_grn_black_pit_roc	-25	0	0	100
wh_dlc05_wef_torgovann_ie	20	0	0	40
wh_dlc05_wef_wydrioth_ie	20	0	0	40
wh_dlc08_nor_goromadny_tribe_ie	20	0	0	40
wh_dlc08_nor_goromadny_tribe_roc	-25	0	0	100
wh_dlc08_nor_helspire_tribe_ie	20	0	0	40
wh_dlc08_nor_helspire_tribe_roc	-25	0	0	100
wh_dlc08_nor_naglfarlings_ie	20	0	0	40
wh_dlc08_nor_naglfarlings_roc	-25	0	0	100
wh_dlc08_nor_vanaheimlings_ie	20	0	0	40
wh_dlc08_nor_vanaheimlings_roc	-25	0	0	100
wh_dlc08_nor_wintertooth_roc	-25	0	0	100
wh_main_brt_artois_ie	20	0	0	40
wh_main_brt_bastonne_ie	20	0	0	40
wh_main_brt_lyonesse_ie	20	0	0	40
wh_main_brt_parravon_ie	20	0	0	40
wh_main_dwf_barak_varr_ie	20	0	0	40
wh_main_dwf_karak_azul_ie	20	0	0	40
wh_main_dwf_karak_hirn_ie	20	0	0	40
wh_main_dwf_karak_kadrin_roc	-25	0	0	100
wh_main_dwf_karak_norn_ie	20	0	0	40
wh_main_dwf_karak_ziflin_ie	20	0	0	40
wh_main_dwf_karak_ziflin_roc	-25	0	0	100
wh_main_dwf_kraka_drak_ie	20	0	0	40
wh_main_dwf_kraka_drak_roc	-25	0	0	100
wh_main_dwf_zhufbar_ie	20	0	0	40
wh_main_dwf_zhufbar_roc	-25	0	0	100
wh_main_emp_averland_ie	20	0	0	40
wh_main_emp_empire_roc	-25	0	0	100
wh_main_emp_empire_separatists_ie	20	0	0	40
wh_main_emp_hochland_ie	20	0	0	40
wh_main_emp_hochland_roc	-25	0	0	100
wh_main_emp_marienburg_ie	20	0	0	40
wh_main_emp_marienburg_roc	-25	0	0	100
wh_main_emp_middenland_ie	20	0	0	40
wh_main_emp_middenland_roc	-25	0	0	100
wh_main_emp_nordland_ie	20	0	0	40
wh_main_emp_nordland_roc	-25	0	0	100
wh_main_emp_ostermark_ie	20	0	0	40
wh_main_emp_ostermark_roc	-25	0	0	100
wh_main_emp_ostland_ie	20	0	0	40
wh_main_emp_ostland_roc	-25	0	0	100
wh_main_emp_stirland_ie	20	0	0	40
wh_main_emp_stirland_roc	-25	0	0	100
wh_main_emp_talabecland_ie	20	0	0	40
wh_main_emp_talabecland_roc	-25	0	0	100
wh_main_emp_wissenland_ie	20	0	0	40
wh_main_emp_wissenland_roc	-25	0	0	100
wh_main_grn_black_venom_ie	20	0	0	40
wh_main_grn_black_venom_roc	-25	0	0	100
wh_main_grn_bloody_spearz_ie	20	0	0	40
wh_main_grn_broken_nose_ie	20	0	0	40
wh_main_grn_necksnappers_ie	20	0	0	40
wh_main_grn_red_eye_ie	20	0	0	40
wh_main_grn_red_eye_roc	-25	0	0	100
wh_main_grn_red_fangs_ie	20	0	0	40
wh_main_grn_scabby_eye_ie	20	0	0	40
wh_main_grn_skull-takerz_ie	20	0	0	40
wh_main_grn_skull-takerz_roc	-25	0	0	100
wh_main_grn_skullsmasherz_ie	20	0	0	40
wh_main_grn_skullsmasherz_roc	-25	0	0	100
wh_main_grn_teef_snatchaz_ie	20	0	0	40
wh_main_grn_top_knotz_ie	20	0	0	40
wh_main_nor_aesling_ie	20	0	0	40
wh_main_nor_aesling_roc	-25	0	0	100
wh_main_nor_baersonling_ie	20	0	0	40
wh_main_nor_bjornling_ie	20	0	0	40
wh_main_nor_bjornling_roc	-25	0	0	100
wh_main_nor_graeling_ie	20	0	0	40
wh_main_nor_graeling_roc	-25	0	0	100
wh_main_nor_sarl_ie	20	0	0	40
wh_main_nor_sarl_roc	-25	0	0	100
wh_main_nor_skaeling_ie	20	0	0	40
wh_main_nor_skaeling_roc	-25	0	0	100
wh_main_nor_varg_ie	20	0	0	40
wh_main_nor_varg_roc	-25	0	0	100
wh_main_teb_border_princes_ie	20	0	0	40
wh_main_teb_estalia_ie	20	0	0	40
wh_main_teb_tilea_ie	20	0	0	40
wh_main_vmp_mousillon_ie	20	0	0	40
wh_main_vmp_rival_sylvanian_vamps_ie	20	0	0	40
wh_main_vmp_vampire_counts_roc	-25	0	0	100
wh_main_vmp_waldenhof_roc	-25	0	0	100
mixer_bst_lunatic_prince_warherd_ie	20	0	0	40
wh3_main_tze_sarthoraels_watchers_ie	20	0	0	40
wh3_main_tze_sarthoraels_watchers_roc	150	0	0	50
mixer_msl_cult_of_the_bloody_grail_ie	20	0	0	40
mixer_msl_mallobaude_ie	20	0	0	40
