member	context	max_range	min_range
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_max	VALUE	100	100
wh3_main_corruption_chaos_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_chaos_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_chaos_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_chaos_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_chaos_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_chaos_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_chaos_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_chaos_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_chaos_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_chaos_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_khorne_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_khorne_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_khorne_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_khorne_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_khorne_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_khorne_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_khorne_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_khorne_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_khorne_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_khorne_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_nurgle_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_nurgle_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_nurgle_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_nurgle_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_nurgle_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_nurgle_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_nurgle_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_nurgle_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_nurgle_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_nurgle_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_skaven_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_skaven_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_skaven_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_skaven_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_skaven_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_skaven_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_skaven_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_skaven_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_skaven_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_skaven_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_slaanesh_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_slaanesh_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_slaanesh_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_slaanesh_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_slaanesh_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_slaanesh_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_slaanesh_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_slaanesh_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_slaanesh_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_slaanesh_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_tzeentch_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_tzeentch_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_tzeentch_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_tzeentch_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_tzeentch_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_tzeentch_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_tzeentch_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_tzeentch_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_tzeentch_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_tzeentch_91-100_ovn_fim_fimir	VALUE	100	91
wh3_main_corruption_vampiric_1-10_ovn_fim_fimir	VALUE	10	1
wh3_main_corruption_vampiric_11-20_ovn_fim_fimir	VALUE	20	11
wh3_main_corruption_vampiric_21-30_ovn_fim_fimir	VALUE	30	21
wh3_main_corruption_vampiric_31-40_ovn_fim_fimir	VALUE	40	31
wh3_main_corruption_vampiric_41-50_ovn_fim_fimir	VALUE	50	41
wh3_main_corruption_vampiric_51-60_ovn_fim_fimir	VALUE	60	51
wh3_main_corruption_vampiric_61-70_ovn_fim_fimir	VALUE	70	61
wh3_main_corruption_vampiric_71-80_ovn_fim_fimir	VALUE	80	71
wh3_main_corruption_vampiric_81-90_ovn_fim_fimir	VALUE	90	81
wh3_main_corruption_vampiric_91-100_ovn_fim_fimir	VALUE	100	91
