from	network	to	regions
ovn_arb_jellabas_way_cr_oldworld_region_stoneminetower	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_myrmidens	ovn_arb_jellabas_way_stonemine-myrmidens
ovn_arb_jellabas_way_cr_oldworld_region_myrmidens	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_thessos	ovn_arb_jellabas_way_myrmidens-thessos
ovn_arb_jellabas_way_cr_oldworld_region_thessos	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_khypris	ovn_arb_jellabas_way_thessos-khypris
ovn_arb_jellabas_way_cr_oldworld_region_elkhabbath	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_tileancoast	ovn_arb_jellabas_way_elkhabbath-tileancoast
ovn_arb_jellabas_way_cr_oldworld_region_tileancoast	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_sartosa	ovn_arb_jellabas_way_tileancoast-sartosa
ovn_arb_jellabas_way_cr_oldworld_region_sartosa	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_mintopua	ovn_arb_jellabas_way_sartosa-mintopua
ovn_arb_jellabas_way_cr_oldworld_region_mintopua	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_luccini	ovn_arb_jellabas_way_mintopua-luccini
ovn_arb_jellabas_way_cr_oldworld_region_luccini	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_riffraffa	ovn_arb_jellabas_way_luccini-riffraffa
ovn_arb_jellabas_way_cr_oldworld_region_riffraffa	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_remas	ovn_arb_jellabas_way_riffraffa-remas
ovn_arb_jellabas_way_cr_oldworld_region_remas	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_urbimo	ovn_arb_jellabas_way_remas-urbimo
ovn_arb_jellabas_way_cr_oldworld_region_urbimo	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_miragliano	ovn_arb_jellabas_way_urbimo-miragliano
ovn_arb_jellabas_way_cr_oldworld_region_tileancoast	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_magritta	ovn_arb_jellabas_way_tileancoast-magritta
ovn_arb_jellabas_way_cr_oldworld_region_magritta	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_siernos	ovn_arb_jellabas_way_magritta-siernos
ovn_arb_jellabas_way_cr_oldworld_region_siernos	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_bilbali	ovn_arb_jellabas_way_siernos-bilbali
